month,brand,review_count,avg_rating,xhs_post_count,avg_xhs_sentiment
2014-08,Acuvue,0,,0,
2014-09,Acuvue,0,,0,
2014-10,Acuvue,0,,0,
2014-11,Acuvue,0,,0,
2014-12,Acuvue,0,,0,
2015-01,Acuvue,0,,0,
2015-02,Acuvue,0,,0,
2015-03,Acuvue,0,,0,
2015-04,Acuvue,0,,0,
2015-05,Acuvue,0,,0,
2015-06,Acuvue,0,,0,
2015-07,Acuvue,0,,0,
2015-08,Acuvue,0,,0,
2015-09,Acuvue,0,,0,
2015-10,Acuvue,0,,0,
2015-11,Acuvue,0,,0,
2015-12,Acuvue,0,,0,
2016-01,Acuvue,0,,0,
2016-02,Acuvue,0,,0,
2016-03,Acuvue,0,,0,
2016-04,Acuvue,0,,0,
2016-05,Acuvue,0,,0,
2016-06,Acuvue,0,,0,
2016-07,Acuvue,0,,0,
2016-08,Acuvue,0,,0,
2016-09,Acuvue,0,,0,
2016-10,Acuvue,0,,0,
2016-11,Acuvue,0,,0,
2016-12,Acuvue,0,,0,
2017-01,Acuvue,0,,0,
2017-02,Acuvue,0,,1,1.0
2017-03,Acuvue,0,,0,
2017-04,Acuvue,0,,0,
2017-05,Acuvue,0,,0,
2017-06,Acuvue,0,,0,
2017-07,Acuvue,0,,0,
2017-08,Acuvue,0,,0,
2017-09,Acuvue,0,,0,
2017-10,Acuvue,0,,0,
2017-11,Acuvue,0,,0,
2017-12,Acuvue,0,,0,
2018-01,Acuvue,0,,0,
2018-02,Acuvue,0,,0,
2018-03,Acuvue,0,,0,
2018-04,Acuvue,0,,0,
2018-05,Acuvue,0,,0,
2018-06,Acuvue,0,,0,
2018-07,Acuvue,0,,0,
2018-08,Acuvue,0,,0,
2018-09,Acuvue,0,,0,
2018-10,Acuvue,0,,1,1.0
2018-11,Acuvue,0,,1,1.0
2018-12,Acuvue,0,,0,
2019-01,Acuvue,0,,0,
2019-02,Acuvue,0,,0,
2019-03,Acuvue,0,,0,
2019-04,Acuvue,0,,2,0.5
2019-05,Acuvue,0,,0,
2019-06,Acuvue,0,,0,
2019-07,Acuvue,0,,0,
2019-08,Acuvue,0,,0,
2019-09,Acuvue,0,,0,
2019-10,Acuvue,0,,0,
2019-11,Acuvue,0,,0,
2019-12,Acuvue,0,,1,1.0
2020-01,Acuvue,0,,0,
2020-02,Acuvue,0,,2,1.0
2020-03,Acuvue,0,,0,
2020-04,Acuvue,0,,0,
2020-05,Acuvue,0,,0,
2020-06,Acuvue,0,,1,1.0
2020-07,Acuvue,0,,1,1.0
2020-08,Acuvue,0,,3,0.667
2020-09,Acuvue,0,,1,0.0
2020-10,Acuvue,0,,0,
2020-11,Acuvue,0,,1,1.0
2020-12,Acuvue,0,,0,
2021-01,Acuvue,0,,0,
2021-02,Acuvue,0,,0,
2021-03,Acuvue,0,,0,
2021-04,Acuvue,0,,0,
2021-05,Acuvue,0,,0,
2021-06,Acuvue,0,,0,
2021-07,Acuvue,2,5.0,1,1.0
2021-08,Acuvue,31,4.58,1,1.0
2021-09,Acuvue,13,4.15,0,
2021-10,Acuvue,24,4.54,1,1.0
2021-11,Acuvue,18,3.94,2,1.0
2021-12,Acuvue,20,4.45,0,
2022-01,Acuvue,30,4.37,0,
2022-02,Acuvue,23,4.3,1,-1.0
2022-03,Acuvue,23,4.43,0,
2022-04,Acuvue,25,4.28,0,
2022-05,Acuvue,19,4.68,0,
2022-06,Acuvue,28,4.46,0,
2022-07,Acuvue,35,4.63,2,0.5
2022-08,Acuvue,57,4.23,0,
2022-09,Acuvue,54,4.61,0,
2022-10,Acuvue,39,4.49,0,
2022-11,Acuvue,36,4.33,1,1.0
2022-12,Acuvue,41,4.44,0,
2023-01,Acuvue,39,4.64,0,
2023-02,Acuvue,35,4.6,0,
2023-03,Acuvue,33,4.79,1,1.0
2023-04,Acuvue,30,4.97,0,
2023-05,Acuvue,25,4.04,2,1.0
2023-06,Acuvue,25,4.44,0,
2023-07,Acuvue,32,4.59,1,0.0
2023-08,Acuvue,52,4.4,1,0.0
2023-09,Acuvue,41,4.41,1,1.0
2023-10,Acuvue,40,4.53,4,1.0
2023-11,Acuvue,27,4.3,0,
2023-12,Acuvue,36,4.33,2,0.5
2024-01,Acuvue,59,4.42,2,0.5
2024-02,Acuvue,34,4.71,4,0.75
2024-03,Acuvue,37,4.11,3,1.0
2024-04,Acuvue,34,4.24,1,1.0
2024-05,Acuvue,41,4.24,1,0.0
2024-06,Acuvue,40,4.15,3,0.667
2024-07,Acuvue,35,4.26,2,1.0
