brand,month,metric,value,trailing_mean,trailing_std
Acuvue,2021-07,review_count,2.0,0.0,0.0
Acuvue,2021-08,review_count,31.0,0.667,1.155
Acuvue,2022-01,review_count,30.0,20.667,3.055
Acuvue,2022-05,review_count,19.0,23.667,1.155
Acuvue,2022-06,review_count,28.0,22.333,3.055
Acuvue,2022-07,review_count,35.0,24.0,4.583
Acuvue,2022-08,review_count,57.0,27.333,8.021
Acuvue,2022-11,review_count,36.0,50.0,9.644
Acuvue,2023-02,review_count,35.0,38.667,2.517
Acuvue,2023-03,review_count,33.0,38.333,3.055
Acuvue,2023-04,review_count,30.0,35.667,3.055
Acuvue,2023-05,review_count,25.0,32.667,2.517
Acuvue,2023-06,review_count,25.0,29.333,4.041
Acuvue,2023-07,review_count,32.0,26.667,2.887
Acuvue,2023-08,review_count,52.0,27.333,4.041
Acuvue,2023-11,review_count,27.0,44.333,6.658
Acuvue,2024-01,review_count,59.0,34.333,6.658
Acuvue,2024-05,review_count,41.0,35.0,1.732
Acuvue,2024-08,review_count,45.0,38.667,3.215
Acuvue,2024-09,review_count,31.0,40.0,5.0
Acuvue,2024-12,review_count,41.0,32.667,1.528
Acuvue,2025-01,review_count,23.0,36.0,4.359
Acuvue,2025-02,review_count,22.0,32.333,9.018
Acuvue,2025-04,review_count,33.0,25.0,4.359
Acuvue,2025-07,review_count,64.0,28.333,4.509
Acuvue,2025-08,review_count,63.0,38.667,22.03
Acuvue,2025-10,review_count,77.0,54.0,16.462
Acuvue,2026-01,review_count,63.0,76.333,1.155
Acuvue,2026-02,review_count,56.0,71.667,7.572
Acuvue,2026-03,review_count,79.0,65.333,10.693
Acuvue,2026-06,review_count,52.0,70.333,7.506
Acuvue,2026-07,review_count,5.0,61.333,8.083
Acuvue,2020-09,avg_xhs_sentiment,0.0,0.889,0.192
Acuvue,2023-10,avg_xhs_sentiment,1.0,0.333,0.577
Acuvue,2024-03,avg_xhs_sentiment,1.0,0.583,0.144
Acuvue,2024-05,avg_xhs_sentiment,0.0,0.917,0.144
Acuvue,2024-09,avg_xhs_sentiment,0.2,0.889,0.192
Acuvue,2024-11,avg_xhs_sentiment,0.25,0.667,0.416
Acuvue,2025-01,avg_xhs_sentiment,0.8,0.517,0.275
Acuvue,2025-02,avg_xhs_sentiment,0.0,0.517,0.275
Acuvue,2025-03,avg_xhs_sentiment,1.0,0.433,0.404
Acuvue,2025-08,avg_xhs_sentiment,-0.333,0.923,0.133
Acuvue,2026-03,avg_xhs_sentiment,0.5,0.588,0.038
Acuvue,2026-06,avg_xhs_sentiment,0.447,0.524,0.022
Alcon,2021-07,review_count,3.0,0.0,0.0
Alcon,2021-08,review_count,15.0,1.0,1.732
Alcon,2021-10,review_count,21.0,9.0,6.0
Alcon,2021-11,review_count,8.0,15.0,6.0
Alcon,2022-01,review_count,7.0,15.333,6.658
Alcon,2022-04,review_count,5.0,8.667,2.887
Alcon,2022-07,review_count,21.0,6.333,1.155
Alcon,2022-08,review_count,20.0,11.667,8.083
Alcon,2022-09,review_count,28.0,16.0,7.81
Alcon,2022-10,review_count,12.0,23.0,4.359
Alcon,2022-12,review_count,10.0,18.667,8.327
Alcon,2023-01,review_count,16.0,12.667,3.055
Alcon,2023-04,review_count,9.0,14.667,2.309
Alcon,2023-05,review_count,6.0,12.333,3.512
Alcon,2023-06,review_count,13.0,9.0,3.0
Alcon,2023-08,review_count,14.0,10.0,3.606
Alcon,2023-09,review_count,20.0,12.667,1.528
Alcon,2023-11,review_count,9.0,15.667,3.786
Alcon,2024-01,review_count,22.0,11.0,2.0
Alcon,2024-05,review_count,12.0,9.0,1.732
Alcon,2024-06,review_count,7.0,10.333,2.082
Alcon,2024-07,review_count,12.0,9.0,2.646
Alcon,2024-08,review_count,7.0,10.333,2.887
Alcon,2024-10,review_count,5.0,10.0,2.646
Alcon,2025-02,review_count,7.0,5.667,1.155
Alcon,2025-03,review_count,9.0,5.667,1.155
Alcon,2025-04,review_count,4.0,7.0,2.0
Alcon,2025-07,review_count,21.0,5.0,1.0
Alcon,2025-12,review_count,9.0,13.0,3.606
Alcon,2026-01,review_count,19.0,12.0,4.359
Alcon,2026-03,review_count,8.0,13.333,5.132
Alcon,2026-05,review_count,13.0,10.0,2.0
Alcon,2026-06,review_count,3.0,10.333,2.517
Alcon,2026-07,review_count,0.0,8.667,5.132
Alcon,2023-07,avg_xhs_sentiment,1.0,-0.667,0.577
Alcon,2024-03,avg_xhs_sentiment,1.0,0.333,0.577
Alcon,2024-05,avg_xhs_sentiment,-0.333,0.417,0.52
Alcon,2025-01,avg_xhs_sentiment,0.25,0.0,0.0
