brand,rating,category,praise_category,summary,source_url
Acuvue,4.0,no complaint / positive feedback,comfort,The lenses are comfortable and do not cause dryness after a full day.,https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048002_S_733905577123?scrollTo=reviewTab
Acuvue,1.0,shipping/fulfillment,no praise / negative review,Had issues with receiving the correct number of boxes and discounts.,https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048002_S_733905577123?scrollTo=reviewTab
Acuvue,5.0,no complaint / positive feedback,value for money,The product is cheaper than the market price and well packaged.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab
Acuvue,5.0,unclear / insufficient detail,unclear / insufficient detail,The review simply states 'Good'.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab
Acuvue,5.0,no complaint / positive feedback,general satisfaction / no specific theme,Purchased immediately due to the discount.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab
Acuvue,5.0,no complaint / positive feedback,quality/reliability (other),The product is of good quality and reasonably priced.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab
Acuvue,5.0,no complaint / positive feedback,quality/reliability (other),The product is of good quality and reasonably priced.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab
Acuvue,5.0,unclear / insufficient detail,unclear / insufficient detail,The review contains only an emoji.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-85-30P100/p/B1048001_S_2733905818769?scrollTo=reviewTab
Acuvue,5.0,unclear / insufficient detail,unclear / insufficient detail,The review is not clear.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-85-30P100/p/B1048001_S_2733905818769?scrollTo=reviewTab
Acuvue,4.0,no complaint / positive feedback,packaging,The packaging is good and lenses are easy to remove.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-85-30P100/p/B1048001_S_2733905818769?scrollTo=reviewTab
Acuvue,5.0,no complaint / positive feedback,packaging,The packaging is good and the lenses are easy to remove.,https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-85-30P100/p/B1048001_S_2733905818769?scrollTo=reviewTab
