brand,barrier,match_count,example_quotes
Acuvue,too expensive,90,"[This brand offers the lowest prices in the city.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Define-in-Fresh-Hazel-1Day-Contact-Lens-Parallel-Import-30PCS/p/H9723001_S_A413010_p-000?scrollTo=reviewTab) (review) | [The price is on the higher side.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Define-Fresh-in-Fresh-Hazel-1Day-Contact-Lens-BC85-P000-Random-Pick-for-OldNew-Packaging/p/H5711001_S_Define_FH_1day-85-0?scrollTo=reviewTab) (review) | [It’s a bit pricey, but worth it.](https://www.hktvmall.com/hktv/en/main/Eyesmart/s/H9835002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/MED-ACUVUE-MOIST-MULTIFOCAL-Daily-Disposal-Contact-Lenses-Parallel-imported/p/H9835002_S_Moist-MF-MED-100?scrollTo=reviewTab) (review)"
Acuvue,previous bad experience,65,[I worry about counterfeit products; eye health is very important.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OASYS-1DAY-with-HydraLuxe-Contact-Lenses/p/H7249002_S_JJACOD30-85M0100?scrollTo=reviewTab) (review) | [The product description doesn't match what was delivered.](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/1DAY-DEFINE-VIVID-STYLE-BC-85-30P-100/p/B1048002_S_733905388064?scrollTo=reviewTab) (review) | [Received the wrong product; unsure if it can be exchanged.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Acuvue-Moist-1Day-Contact-Lens-P-100-Parallel-Import/p/H5711001_S_MoistPI_reg_1day-90-100S?scrollTo=reviewTab) (review)
Acuvue,bad reviews,62,[It's hard to tell apart between the imported and parallel products.](https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-90-30P-1200-Parallel-Import/p/B1048001_S_733905819094?scrollTo=reviewTab) (review) | [Quality issues were encountered with defects in the contact lenses.](https://www.hktvmall.com/hktv/en/main/BROTHER-OPTICAL/s/B1412001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Bi-weekly-Disposable/BC-88-Acuvue-Oasys-2Week-Contact-Lens-Parallel-Import/p/B1412001_S_CA130602_p-100?scrollTo=reviewTab) (review) | [Doubts about product quality arise due to close expiration dates.](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Oasys-1Day-Contact-Lenses-P-100-Parallel-Import-Random-Pick-for-OldNew-Packaging/p/B0217001_S_85OasysPI30-0100?scrollTo=reviewTab) (review)
Acuvue,used to current brand,41,[I've been using this brand for years and find it comfortable.](https://www.hktvmall.com/hktv/en/main/BROTHER-OPTICAL/s/B1412001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Bi-weekly-Disposable/12pBC-88-Acuvue-Oasys-2Week-Contact-Lens-Parallel-Import/p/B1412001_S_CA131202_p-100?scrollTo=reviewTab) (review) | [I'm loyal to this brand and appreciate the good pricing.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1Day-ACUVUE-Moist-Contact-Lenses-Authorized/p/H7249002_S_JJACMD30A-85M0050?scrollTo=reviewTab) (review) | [I often buy this model for its speed and style at great prices.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1Day-ACUVUE-Moist-Contact-Lenses-Authorized/p/H7249002_S_JJACMD30A-85M0050?scrollTo=reviewTab) (review)
Acuvue,not on promotion,26,"[The special price makes it worth buying.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OASYS-1DAY-with-HydraLuxe-Contact-Lenses/p/H7249002_S_JJACOD30-85M0100?scrollTo=reviewTab) (review) | [I will buy more when there’s a discount.](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-90-30P-100/p/B1048002_S_733905819414?scrollTo=reviewTab) (review) | [I bought it during a weekend promotion, so it was cheaper.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1Day-ACUVUE-Moist-Contact-Lenses-Authorized/p/H7249002_S_JJACMD30A-85M0050?scrollTo=reviewTab) (review)"
Acuvue,longer wait time,18,"[Shipping was disappointingly slow this time.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1Day-ACUVUE-Moist-Contact-Lenses-Authorized/p/H7249002_S_JJACMD30A-85M0050?scrollTo=reviewTab) (review) | [Delivery was delayed and customer service was ineffective.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Oasys-One-Day-Silicone-Hydrogel-1Day-Contact-Lens-1100-Parallel-Import/p/H9723001_S_A113005_p-1100?scrollTo=reviewTab) (review) | [I was told my order was delivered, but I never received it.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Oasys-Silicone-Hydrogel-1Day-Contact-Lens-P-100-Random-Pick-for-OldNew-Packaging/p/H5711001_S_Oasys_reg_1day-90-100S?scrollTo=reviewTab) (review)"
Acuvue,too few variants,10,[I noticed one lens was missing.](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/1DAY-DEFINE-NATURAL-SHINE-BC-85-30P-000/p/B1048002_S_733905388682?scrollTo=reviewTab) (review) | [The lenses I received have very short expiration dates.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Define-Fresh-Grayzel-FZ-Color-Lenses/p/H7249002_S_JJACDF30-85M0000-FZ?scrollTo=reviewTab) (review) | [One box has only 8 months until expiration.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Define-Fresh-Grayzel-FZ-Color-Lenses/p/H7249002_S_JJACDF30-85M0000-FZ?scrollTo=reviewTab) (review)
Acuvue,unattractive packaging,7,[The packaging was damaged due to rain.](https://www.hktvmall.com/hktv/en/main/MY-CON/s/S2830001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-One-Day-Acuvue-Moist-Contact-Lens-Random-Pick-for-OldNew-Packaging/p/S2830001_S_85MoistPI30_p-100?scrollTo=reviewTab) (review) | [The box was dented; better packaging is needed.](https://www.hktvmall.com/hktv/en/main/Habitual-Goods/s/B1048001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/ACUVUE-1DAY-MOIST-BC85-30P100/p/B1048001_S_2733905577123?scrollTo=reviewTab) (review) | [The packaging isn't the same as it used to be.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Oasys-Silicone-Hydrogel-1Day-Contact-Lens-P-100-Random-Pick-for-OldNew-Packaging/p/H5711001_S_Oasys_reg_1day-85-100S?scrollTo=reviewTab) (review)
Acuvue,difficult to find,7,"[I want to buy more, but they’re frequently out of stock.](https://www.hktvmall.com/hktv/en/main/Timely-CON/s/B1048002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/OAS-WITH-HYDRALUXE-BC-85-30P100/p/B1048002_S_733905818769?scrollTo=reviewTab) (review) | [Inserting the lenses can be a bit challenging.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Moist-Contant-Lens-1Day-Power-100-Parallel-Import/p/H9723001_S_A113001-850100?scrollTo=reviewTab) (review) | [Prescription out of stock affects orders.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Oasys-One-Day-Silicone-Hydrogel-1Day-Contact-Lens-100-Parallel-Import/p/H9723001_S_A113006_p-100?scrollTo=reviewTab) (review)"
Acuvue,lack of familiarity,5,[This is an authentic product.](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Moist-1Day-Contact-Lenses-P-100-Parallel-IMport-Random-Pick-for-OldNew-Packaging/p/B0217001_S_85MoistPI30-0100?scrollTo=reviewTab) (review) | [Unsure about authenticity due to unfamiliar packaging and no website.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Daily-Disposable/One-Day-ACUVUE-Moist-for-Astigmatism-Contact-Lenses/p/H7249002_S_JJACMT30-85M0375-125180?scrollTo=reviewTab) (review) | [I hesitated to use them due to some concerns.](https://www.hktvmall.com/hktv/en/main/MY-CON/s/S2830001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/Define-Fresh-in-Fresh-Hazel-ACUVUE-1Day-Contact-Lens-Parallel-Import-Random-Packaging/p/S2830001_S_DefinePI_1day_FH?scrollTo=reviewTab) (review)
