brand,theme,sentiment,count,pct_within_brand_theme
Acuvue,authenticity,negative,5,25.0
Acuvue,authenticity,neutral,10,50.0
Acuvue,authenticity,positive,5,25.0
Acuvue,brand_comparison,negative,4,17.4
Acuvue,brand_comparison,neutral,12,52.2
Acuvue,brand_comparison,positive,7,30.4
Acuvue,colour,negative,2,3.3
Acuvue,colour,neutral,4,6.7
Acuvue,colour,positive,54,90.0
Acuvue,comfort,negative,15,8.4
Acuvue,comfort,neutral,31,17.4
Acuvue,comfort,positive,132,74.2
Acuvue,dryness,negative,7,17.1
Acuvue,dryness,neutral,4,9.8
Acuvue,dryness,positive,30,73.2
Acuvue,price,negative,4,7.3
Acuvue,price,neutral,23,41.8
Acuvue,price,positive,28,50.9
Acuvue,recommendation,negative,6,3.5
Acuvue,recommendation,neutral,25,14.6
Acuvue,recommendation,positive,140,81.9
Acuvue,value,negative,1,1.7
Acuvue,value,neutral,16,27.1
Acuvue,value,positive,42,71.2
Acuvue,vision_clarity,negative,2,8.3
Acuvue,vision_clarity,neutral,7,29.2
Acuvue,vision_clarity,positive,15,62.5
Acuvue,warning,negative,3,100.0
Alcon,authenticity,negative,10,50.0
Alcon,authenticity,neutral,4,20.0
Alcon,authenticity,positive,5,25.0
Alcon,authenticity,warning,1,5.0
Alcon,brand_comparison,negative,4,21.1
Alcon,brand_comparison,neutral,8,42.1
Alcon,brand_comparison,positive,7,36.8
Alcon,colour,negative,1,25.0
Alcon,colour,neutral,1,25.0
Alcon,colour,positive,2,50.0
Alcon,comfort,negative,22,17.5
Alcon,comfort,neutral,17,13.5
Alcon,comfort,positive,86,68.3
Alcon,comfort,warning,1,0.8
Alcon,dryness,negative,13,24.1
Alcon,dryness,neutral,8,14.8
Alcon,dryness,positive,33,61.1
Alcon,price,negative,2,8.3
Alcon,price,neutral,7,29.2
Alcon,price,positive,15,62.5
Alcon,recommendation,negative,5,8.5
Alcon,recommendation,neutral,6,10.2
Alcon,recommendation,positive,48,81.4
Alcon,value,negative,1,3.8
Alcon,value,neutral,6,23.1
Alcon,value,positive,19,73.1
Alcon,vision_clarity,negative,1,4.8
Alcon,vision_clarity,neutral,5,23.8
Alcon,vision_clarity,positive,15,71.4
Alcon,warning,negative,8,100.0
Bausch & Lomb,authenticity,negative,5,55.6
Bausch & Lomb,authenticity,neutral,4,44.4
Bausch & Lomb,brand_comparison,neutral,3,33.3
Bausch & Lomb,brand_comparison,positive,6,66.7
Bausch & Lomb,colour,negative,3,4.7
Bausch & Lomb,colour,neutral,16,25.0
Bausch & Lomb,colour,positive,45,70.3
Bausch & Lomb,comfort,negative,19,18.1
Bausch & Lomb,comfort,neutral,24,22.9
Bausch & Lomb,comfort,positive,62,59.0
Bausch & Lomb,dryness,negative,8,30.8
Bausch & Lomb,dryness,neutral,8,30.8
Bausch & Lomb,dryness,positive,10,38.5
Bausch & Lomb,price,negative,5,45.5
Bausch & Lomb,price,neutral,2,18.2
Bausch & Lomb,price,positive,4,36.4
Bausch & Lomb,recommendation,negative,8,9.8
Bausch & Lomb,recommendation,neutral,24,29.3
Bausch & Lomb,recommendation,positive,50,61.0
Bausch & Lomb,value,negative,4,12.9
Bausch & Lomb,value,neutral,10,32.3
Bausch & Lomb,value,positive,17,54.8
Bausch & Lomb,vision_clarity,negative,3,27.3
Bausch & Lomb,vision_clarity,neutral,4,36.4
Bausch & Lomb,vision_clarity,positive,4,36.4
Bausch & Lomb,warning,negative,7,100.0
CooperVision,authenticity,negative,6,85.7
CooperVision,authenticity,neutral,1,14.3
CooperVision,brand_comparison,negative,4,18.2
CooperVision,brand_comparison,neutral,14,63.6
CooperVision,brand_comparison,positive,4,18.2
CooperVision,comfort,negative,20,17.4
CooperVision,comfort,neutral,26,22.6
CooperVision,comfort,positive,69,60.0
CooperVision,dryness,negative,11,37.9
CooperVision,dryness,neutral,7,24.1
CooperVision,dryness,positive,11,37.9
CooperVision,price,negative,6,25.0
CooperVision,price,neutral,9,37.5
CooperVision,price,positive,9,37.5
CooperVision,recommendation,negative,8,10.0
CooperVision,recommendation,neutral,16,20.0
CooperVision,recommendation,positive,56,70.0
CooperVision,value,negative,4,8.3
CooperVision,value,neutral,25,52.1
CooperVision,value,positive,19,39.6
CooperVision,vision_clarity,negative,6,15.4
CooperVision,vision_clarity,neutral,12,30.8
CooperVision,vision_clarity,positive,21,53.8
CooperVision,warning,negative,8,100.0
Olens,authenticity,negative,7,63.6
Olens,authenticity,neutral,2,18.2
Olens,authenticity,positive,2,18.2
Olens,brand_comparison,negative,1,9.1
Olens,brand_comparison,neutral,7,63.6
Olens,brand_comparison,positive,3,27.3
Olens,colour,negative,2,1.1
Olens,colour,neutral,27,15.4
Olens,colour,positive,146,83.4
Olens,comfort,negative,25,13.4
Olens,comfort,neutral,22,11.8
Olens,comfort,positive,139,74.7
Olens,dryness,negative,17,43.6
Olens,dryness,neutral,6,15.4
Olens,dryness,positive,16,41.0
Olens,price,negative,3,12.0
Olens,price,neutral,5,20.0
Olens,price,positive,17,68.0
Olens,recommendation,negative,10,5.3
Olens,recommendation,neutral,21,11.2
Olens,recommendation,positive,157,83.5
Olens,value,negative,3,8.8
Olens,value,neutral,5,14.7
Olens,value,positive,26,76.5
Olens,vision_clarity,negative,3,60.0
Olens,vision_clarity,neutral,1,20.0
Olens,vision_clarity,positive,1,20.0
Olens,warning,negative,8,88.9
Olens,warning,neutral,1,11.1
