Category: All categories
"Acuvue: (7/1/25 - 7/1/26, Hong Kong)"

TOP
Acuvue Oasys,100
Contact lens,100
Glasses,78
Astigmatism,69
Acuvue Oasys for Astigmatism,36
Lens,32
1-Day Acuvue Oasys for Astigmatism,30
1-Day Acuvue Define 30 Pack Contact Lenses,29
1 Day Acuvue Moist,25
Bausch + Lomb,15
Presbyopia,13
1 Day Acuvue Moist for Astigmatism,11
Bausch & Lomb,11
Multifocal,10
Myopia,8
OPTICAL 88,6
Optical 88,6
CooperVision,6
Acuvue Oasys Max 1-Day Astigmatism,6
Alcon,6
CooperVision,5
Radian,5
Water content,5
Acuvue Oasys Multifocal Contact Lenses,5
Week,5

RISING
Acuvue Oasys,Breakout
1-Day Acuvue Define 30 Pack Contact Lenses,Breakout
1 Day Acuvue Moist,Breakout
Acuvue Oasys Multifocal Contact Lenses,Breakout
1-Day Acuvue Define 30 Pack Contact Lenses,Breakout
Toric lens,Breakout
Acuvue Oasys Max 1-Day Astigmatism,Breakout
Cortis,Breakout
Dailies Total 1 Multifocal,Breakout
"Acuvue 1 Day Define Fresh Honey B.C 8.5 Pack Of 30 P ( 4.25, 8.5, 14.2, 30) Radiant Vision Lenses For Daily Comfort An",Breakout
Acuvue Oasys 1-day Con Hydraluxe,Breakout
Acuvue Oasys for Astigmatism,Breakout
1 Day Acuvue Moist Multifocal,Breakout
MyDay Contact lenses,Breakout
Eye examination,Breakout
Acuvue Oasys 1-Day,Breakout
Alcon,Breakout
Johnson & Johnson,Breakout
Myopia,+900%
Acuvue Oasys Max 1-Day Astigmatism,+450%
CooperVision,+180%
Bausch + Lomb,+80%
CooperVision,+50%
Multifocal,+40%

