Category: All categories
"alcon: (7/1/25 - 7/1/26, Hong Kong)"

TOP
Alcon,100
Alcon,99
Alcon,73
Contact lens,22
Glasses,18
Eye,16
Eye drop,12
Lens,8
Astigmatism,7
Dailies Total 1 Multifocal,7
Acuvue,6
"Precision 1 (90 lenses) -1,00 Daily disposable Contact lenses",5
Bausch + Lomb,4
Brake,4
Intraocular lens,4
Bausch & Lomb,4
Systane,3
Dailies AquaComfort Plus,3
Cataract,3
Presbyopia,2
Brembo,2
Air Optix plus HydraGlyde Multifocal,2
Piston,2
Systane Ultra Lubricant Eye Drops,2

RISING
Presbyopia,Breakout
Brembo,Breakout
Air Optix plus HydraGlyde Multifocal,Breakout
Piston,Breakout
Systane Ultra Lubricant Eye Drops,Breakout
Acuvue Oasys,Breakout
Bausch + Lomb,Breakout
Aosept Plus with Hydraglyde 2,Breakout
Dailies Total 1 Contact Lenses,Breakout
Systane Ultra,Breakout
Progressive lens,Breakout
RC6,Breakout
Adecco Staffing,Breakout
Dailies Total 1 Multifocal,Breakout
Artificial tears,Breakout
Brembo,Breakout
Acuvue,+190%
Dailies Total 1 Multifocal,+170%
Cataract,+50%
Bausch + Lomb,+40%

