Category: Shopping

Week,安視優  Acuvue: (Hong Kong),愛爾康  Alcon: (Hong Kong),博士倫  Bausch & Lomb: (Hong Kong),酷柏  CooperVision: (Hong Kong),Olens: (Hong Kong)
2025-06-29,0,0,0,0,79
2025-07-06,0,0,0,0,63
2025-07-13,0,0,0,0,62
2025-07-20,0,0,0,0,78
2025-07-27,0,0,0,0,79
2025-08-03,0,0,0,0,60
2025-08-10,0,0,0,0,57
2025-08-17,0,0,0,0,60
2025-08-24,0,0,0,0,67
2025-08-31,0,0,0,0,66
2025-09-07,0,0,0,0,43
2025-09-14,0,0,0,0,43
2025-09-21,0,0,0,0,62
2025-09-28,0,0,0,0,71
2025-10-05,0,0,0,0,69
2025-10-12,0,0,0,0,70
2025-10-19,0,0,0,0,52
2025-10-26,0,0,0,0,63
2025-11-02,0,0,0,0,56
2025-11-09,0,0,0,0,100
2025-11-16,0,0,0,0,69
2025-11-23,0,0,0,0,59
2025-11-30,0,0,0,0,68
2025-12-07,0,0,0,0,69
2025-12-14,0,0,0,0,41
2025-12-21,0,0,0,0,95
2025-12-28,0,0,0,0,76
2026-01-04,0,0,0,0,81
2026-01-11,0,0,0,0,57
2026-01-18,0,0,0,0,58
2026-01-25,0,0,0,0,65
2026-02-01,0,0,0,0,50
2026-02-08,0,0,0,0,65
2026-02-15,0,0,0,0,70
2026-02-22,0,0,0,0,79
2026-03-01,0,0,0,0,48
2026-03-08,32,0,0,0,54
2026-03-15,0,0,0,0,64
2026-03-22,0,0,0,0,65
2026-03-29,0,0,0,0,44
2026-04-05,0,0,0,0,48
2026-04-12,0,0,0,0,60
2026-04-19,0,0,0,0,53
2026-04-26,0,0,0,0,85
2026-05-03,0,0,0,0,69
2026-05-10,0,0,0,0,72
2026-05-17,0,0,0,0,55
2026-05-24,0,0,0,0,79
2026-05-31,0,0,0,0,61
2026-06-07,0,0,0,0,69
2026-06-14,0,0,0,0,60
2026-06-21,0,0,0,0,69
2026-06-28,0,0,0,0,66
