Category: Health

Week,Acuvue: (Hong Kong),Alcon: (Hong Kong),Bausch and Lomb: (Hong Kong),CooperVision: (Hong Kong),Olens: (Hong Kong)
2025-06-29,85,0,0,0,0
2025-07-06,47,0,0,0,0
2025-07-13,45,0,0,0,0
2025-07-20,45,0,0,0,0
2025-07-27,61,0,0,0,28
2025-08-03,50,27,0,0,0
2025-08-10,31,0,0,0,0
2025-08-17,52,0,0,0,0
2025-08-24,55,0,0,0,0
2025-08-31,66,0,0,0,0
2025-09-07,55,0,0,0,0
2025-09-14,68,0,0,0,0
2025-09-21,34,0,0,0,0
2025-09-28,60,0,0,0,0
2025-10-05,57,0,0,0,0
2025-10-12,60,0,0,0,0
2025-10-19,42,0,0,0,0
2025-10-26,69,0,0,0,0
2025-11-02,49,0,0,0,0
2025-11-09,35,0,0,0,30
2025-11-16,51,0,0,0,0
2025-11-23,60,0,0,0,0
2025-11-30,52,0,0,0,0
2025-12-07,39,0,0,0,0
2025-12-14,33,0,0,0,0
2025-12-21,62,0,0,0,0
2025-12-28,56,0,28,0,0
2026-01-04,50,0,0,0,0
2026-01-11,0,0,0,0,0
2026-01-18,39,0,0,0,0
2026-01-25,45,0,0,0,0
2026-02-01,70,0,0,0,0
2026-02-08,54,0,0,0,0
2026-02-15,43,0,0,0,0
2026-02-22,41,0,0,0,0
2026-03-01,56,31,0,0,0
2026-03-08,38,0,0,0,0
2026-03-15,36,0,0,0,0
2026-03-22,65,0,0,0,0
2026-03-29,70,0,0,0,0
2026-04-05,32,0,0,0,0
2026-04-12,77,0,0,0,0
2026-04-19,66,0,0,0,25
2026-04-26,70,0,0,0,0
2026-05-03,98,0,0,0,0
2026-05-10,70,0,0,0,0
2026-05-17,94,0,0,0,0
2026-05-24,100,0,0,0,0
2026-05-31,82,0,0,0,0
2026-06-07,76,0,0,0,0
2026-06-14,67,6,0,2,5
2026-06-21,72,15,3,7,12
2026-06-28,83,15,0,4,14
