Category: Shopping

Week,Acuvue: (Hong Kong),Alcon: (Hong Kong),Bausch and Lomb: (Hong Kong),CooperVision: (Hong Kong),Olens: (Hong Kong)
2025-06-29,70,0,0,0,79
2025-07-06,40,0,0,0,63
2025-07-13,50,0,0,0,62
2025-07-20,44,0,0,0,77
2025-07-27,40,0,0,0,79
2025-08-03,41,0,0,0,60
2025-08-10,49,0,0,0,57
2025-08-17,49,0,0,0,60
2025-08-24,55,0,0,0,67
2025-08-31,60,0,0,0,66
2025-09-07,68,0,0,0,43
2025-09-14,63,0,0,0,43
2025-09-21,35,0,0,0,62
2025-09-28,58,0,0,0,71
2025-10-05,64,0,0,0,69
2025-10-12,52,0,0,0,70
2025-10-19,44,0,0,0,52
2025-10-26,67,0,0,0,63
2025-11-02,54,0,0,0,56
2025-11-09,42,0,0,0,100
2025-11-16,29,0,0,0,69
2025-11-23,56,0,0,0,59
2025-11-30,43,0,0,0,68
2025-12-07,45,0,0,0,69
2025-12-14,40,0,0,0,41
2025-12-21,48,0,0,0,95
2025-12-28,50,0,0,0,76
2026-01-04,42,0,0,0,81
2026-01-11,26,0,0,0,57
2026-01-18,40,0,0,0,58
2026-01-25,39,0,0,0,65
2026-02-01,53,0,0,0,50
2026-02-08,39,0,0,0,65
2026-02-15,30,0,0,0,70
2026-02-22,34,0,0,0,79
2026-03-01,36,0,0,31,48
2026-03-08,42,0,0,0,54
2026-03-15,23,0,0,0,64
2026-03-22,56,0,0,0,65
2026-03-29,55,0,0,0,44
2026-04-05,0,0,0,0,48
2026-04-12,69,0,0,0,60
2026-04-19,46,0,0,0,53
2026-04-26,69,0,0,0,85
2026-05-03,97,0,0,0,69
2026-05-10,64,0,0,0,72
2026-05-17,89,0,0,0,55
2026-05-24,93,0,0,0,79
2026-05-31,55,0,0,0,61
2026-06-07,82,0,0,0,69
2026-06-14,64,3,0,0,60
2026-06-21,64,5,0,6,69
2026-06-28,73,6,0,4,66
