market,brand,sku,store,price,currency,date_observed,source_url,geo_validated
HK,Acuvue,1-Day ACUVUE DEFINE,Optical 88,258,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/1-day-acuvuer-definer-contact-lens-series,Yes
HK,Acuvue,1-Day ACUVUE MOIST Multifocal 8.4,Optical 88,350,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/1-day-acuvue-moist-multifocal-8-4,Yes
HK,Acuvue,1-Day ACUVUE MOIST for Astigmatism 8.5,Optical 88,294,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/1-day-acuvue-moist-for-astigmatism-8-5,Yes
HK,Acuvue,1-Day ACUVUE MOIST 8.5/9.0,Optical 88,176,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/1-day-acuvue-moist-8-5-9-0,Yes
HK,Acuvue,ACUVUE Oasys 1-Day 8.5 for Astigmatism,Optical 88,347,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/acuvue-oasys1-day-for-astigmatism-8-5,Yes
HK,Acuvue,ACUVUE OASYS 1-Day w/ HydraLuxe 8.5/9.0,Optical 88,283,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/acuvue-1-day-oasys-with-hydraluxe-8-5-9-0,Yes
HK,Acuvue,ACUVUE OASYS 2-Week 8.4/8.8,Optical 88,230,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/j-j-acuvue-oasys,Yes
HK,Acuvue,ACUVUE OASYS 2-Week for Astigmatism,Optical 88,305,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/j-j-acuvue-oasys-for-astigmatism-8-6,Yes
HK,Alcon,Freshlook Illuminate,Optical 88,202,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/freshlook-illuminate-contact-lens-series,Yes
HK,Alcon,Dailies AquaComfort Plus Multifocal 8.7,Optical 88,308,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-dailies-aquacomfort-plus-multifocal-8-7-1,Yes
HK,Alcon,Dailies AquaComfort Plus Toric 8.8,Optical 88,293,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-dailies-aquacomfort-plus-toric-8-8-30,Yes
HK,Alcon,Dailies AquaComfort Plus 8.7,Optical 88,185,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-dailies-aquacomfort-plus-tm-8-7,Yes
HK,Alcon,Dailies Total 1 Multifocal 8.5,Optical 88,415,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-dailies-total-1-multifocal-8-5-30,Yes
HK,Alcon,Precision 1 for Astigmatism 8.5,Optical 88,325,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-precision-1-astigmatism-8-5-contact-lens,Yes
HK,Alcon,Dailies Total 1 for Astigmatism 8.6,Optical 88,390,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-dailies-total-1-for-astigmatism-8-6-contact-lens,Yes
HK,Alcon,Dailies Total 1 8.5,Optical 88,315,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-dailies-total-1-8-5,Yes
