market,brand,platform,date,language,summary,sentiment,source_url,geo_validated
HK,Acuvue,Baby Kingdom,2014-06-01,Cantonese,"Thread comparing 1-day vs 2-week lenses; users split on whether Acuvue or B&L was drier — some switched away from Acuvue to B&L for relief, others switched back. No clean brand winner.",mixed,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=11878730,Yes
HK,Acuvue,Baby Kingdom,2015-09-01,Cantonese,"User reported Acuvue Moist left her eyes dry to the point of falling out; switched to CooperVision and found it both cheaper and better-fitting.",negative,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=16012155,Yes
HK,Acuvue,Baby Kingdom,2021-06-01,Cantonese,"One Day Acuvue described as comfortable to wear but very hard to insert because the lens is so thin it keeps folding on itself.",mixed,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23471365,Yes
HK,Acuvue,Baby Kingdom,2023-12-01,Cantonese,"Long-time wearer started getting conjunctivitis and red eyes after years on Acuvue 2-week lenses; replies suggested switching to B&L or moving to dailies for hygiene. Health concern raised.",negative,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23714756,Yes
HK,Acuvue,HKGolden,2014-01-01,Cantonese,"Poster summarised their own verdict after trying multiple brands: positive for Acuvue, negative for CooperVision.",positive,https://forum.hkgolden.com/view.aspx?message=4920483&page=3,Yes
HK,Acuvue,HKGolden,2012-01-01,Cantonese,"Long-running price-comparison thread: One Day Acuvue reported at HK$155–180 per 30-pack at small independent shops vs HK$220–290 at Optical 88; users directed each other to online sellers for lower prices. Mild frustration at chain markup.",negative,https://forum.hkgolden.com/thread/5758294,Yes
HK,Acuvue,Baby Kingdom,2018-12-01,Cantonese,"Users compared per-box Acuvue Moist pricing across shops ranging from HK$130 (no astigmatism) to HK$530 (with astigmatism, two boxes); mild frustration at astigmatism premium.",neutral,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=22174432,Yes
HK,Acuvue,HKGolden,2014-12-01,Cantonese,"First-time wearer spent about an hour getting the lens in and had even worse trouble removing it; the shop's own tutorial videos did not help. Onboarding friction complaint.",negative,https://forum.hkgolden.com/view.aspx?message=5577774&type=BW,Yes
HK,Acuvue,Baby Kingdom,2017-06-01,Cantonese,"Discussion concluded removal difficulty with Acuvue One Day was about base-curve mismatch (8.5mm) rather than the brand itself; users self-corrected an initial brand complaint into a general fit issue.",neutral,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=19905143,Yes
HK,Alcon,Baby Kingdom,2018-12-01,Cantonese,"Dailies Total 1 described as more comfortable and less drying than B&L by multiple users; caveat is it is harder to remove than other dailies. One optician praised for coaching a nervous first-time wearer.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=22135281,Yes
HK,Alcon,Baby Kingdom,2008-01-01,Cantonese,"Thread recommends Alcon Naphcon-A allergy relief drops; user noted skipping the ophthalmologist and asking the pharmacy directly to save money.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=1302234,Yes
HK,Alcon,Baby Kingdom,2018-01-01,Cantonese,"Alcon antibiotic eye drops prescribed for infection; user recommends asking pharmacist directly for the Alcon product to avoid doctor visit cost.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=22173277,Yes
HK,Bausch & Lomb,Baby Kingdom,2018-08-01,Cantonese,"B&L colored daily lenses comfortable enough for all-day wear; one user noted they cling tightly and are hard to remove.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=21762123,Yes
HK,Bausch & Lomb,Baby Kingdom,2019-09-01,Cantonese,"Within-brand packaging distinction: user found the blue/white box SofLens too soft and prone to tearing, preferring the firmer green/white box version. Not a brand-level verdict.",mixed,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=22814561,Yes
HK,Bausch & Lomb,Baby Kingdom,2021-06-01,Cantonese,"B&L described as easy to insert but uncomfortable with eyes drying out quickly — inverse trade-off to Acuvue in the same thread.",negative,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23471365,Yes
HK,Bausch & Lomb,Baby Kingdom,2014-06-01,Cantonese,"Opinion roughly 50/50 split: some users found B&L more comfortable after switching from Acuvue; others found the reverse.",mixed,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=11878730,Yes
HK,CooperVision,HKGolden,2012-01-01,Cantonese,"User described fully switching from J&J Acuvue to CooperVision EV and Proclear, finding them more comfortable and cheaper than Acuvue Moist and TruEye.",positive,https://md.hkgolden.com/view.aspx?message=4071514&page=2,Yes
HK,CooperVision,Baby Kingdom,2013-06-01,Cantonese,"Mixed: one user wore CooperVision toric for years until a bad batch had the wrong prescription; another found CooperVision dried her eyes within three days and returned to her optician.",mixed,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=7780879,Yes
HK,CooperVision,Baby Kingdom,2015-09-01,Cantonese,"Explicit comparative verdict: CooperVision more comfortable and cheaper than Acuvue Moist.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=16012155,Yes
HK,CooperVision,Baby Kingdom,2017-08-01,Cantonese,"User named CooperVision 1-day as good for astigmatism, non-drying, and high oxygen permeability; second user agreed.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=20242579,Yes
HK,CooperVision,Baby Kingdom,2021-06-01,Cantonese,"CooperVision praised as firmer and less prone to folding during insertion compared to Acuvue's thinner lens.",positive,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23471365,Yes
HK,Olens,Baby Kingdom,2020-04-01,Cantonese,"User asked where to buy lenses and listed Olens as an option; reply steered toward HKTVmall on price. Olens on local radar but loses on marketplace pricing for price-sensitive buyers.",neutral,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=23168735,Yes
HK,Olens,Baby Kingdom,2018-07-01,Cantonese,"Technical sub-thread comparing Olens water content (38%/48% depending on line) against Acuvue Moist/Dailies/TruEye. Purely informational, no comfort verdict reached.",neutral,https://www.baby-kingdom.com/forum.php?mod=viewthread&tid=21668738,Yes
TH,Acuvue,Pantip,2026-01-01,Thai,"First-time wearer reviewed Acuvue Oasys with Hydraclear Plus as noticeably more comfortable than B&L and Duna lenses she had tried before; no dryness even through a full day including a long bus ride.",positive,https://pantip.com/topic/34377632,Yes
TH,Acuvue,Pantip,2026-01-01,Thai,"In an Acuvue vs B&L comparison thread, respondent found Acuvue most comfortable overall after trying Freshlook, Acuvue, and Bloom Alice, though it slightly obscured her pupil visually.",positive,https://pantip.com/topic/31720151,Yes
